ID,POSITIVE,NEUTRAL,NEGATIVE,COMPUND 
4550,0.577,0.423,0.0,0.6249
4551,0.063,0.886,0.051,0.128
4552,0.408,0.592,0.0,0.7096
4553,0.0,1.0,0.0,0.0
4554,0.158,0.842,0.0,0.5719
4565,0.085,0.915,0.0,0.0772
4566,0.172,0.828,0.0,0.6124
4567,0.0,0.748,0.252,-0.4019
4568,0.352,0.648,0.0,0.5984
4569,0.174,0.645,0.181,-0.0258
4578,0.351,0.649,0.0,0.4019
4579,0.21,0.79,0.0,0.7713
4580,0.263,0.737,0.0,0.6124
4585,0.388,0.612,0.0,0.5859
4586,0.536,0.464,0.0,0.7947
4589,0.197,0.803,0.0,0.6597
4591,0.0,1.0,0.0,0.0
4593,0.0,1.0,0.0,0.0
4594,0.39,0.61,0.0,0.4927
4595,0.197,0.803,0.0,0.4019
4596,0.0,1.0,0.0,0.0
4597,0.0,1.0,0.0,0.0
4599,0.483,0.517,0.0,0.6808
4604,0.0,1.0,0.0,0.0
4605,0.577,0.423,0.0,0.6249
4608,0.333,0.667,0.0,0.7184
4609,0.0,1.0,0.0,0.0
4612,0.0,1.0,0.0,0.0
4613,0.0,0.675,0.325,-0.5216
4614,0.0,1.0,0.0,0.0
4615,0.351,0.649,0.0,0.8251
4617,0.0,1.0,0.0,0.0
4618,0.0,1.0,0.0,0.0
4619,0.091,0.909,0.0,0.128
4620,0.0,1.0,0.0,0.0
4623,0.0,1.0,0.0,0.0
4624,0.0,1.0,0.0,0.0
4625,0.0,0.87,0.13,-0.4019
4627,0.474,0.526,0.0,0.2023
4628,0.0,0.548,0.452,-0.5106
4632,0.0,0.865,0.135,-0.1027
4633,0.0,1.0,0.0,0.0
4634,0.0,1.0,0.0,0.0
4635,0.0,1.0,0.0,0.0
4637,0.412,0.588,0.0,0.2732
4645,0.161,0.839,0.0,0.3182
4646,0.251,0.749,0.0,0.6908
4657,0.441,0.559,0.0,0.743
4658,0.308,0.692,0.0,0.7906
4659,0.0,0.852,0.148,-0.3089
4660,0.0,0.827,0.173,-0.3626
4661,0.185,0.577,0.238,-0.4939
4662,0.0,0.922,0.078,-0.4215
4663,0.0,0.714,0.286,-0.4215
4664,0.0,1.0,0.0,0.0
4665,0.0,1.0,0.0,0.0
4670,0.0,0.891,0.109,-0.4019
4672,0.0,1.0,0.0,0.0
4675,0.0,1.0,0.0,0.0
4676,0.189,0.811,0.0,0.2732
4678,0.506,0.494,0.0,0.6249
4680,0.237,0.763,0.0,0.5648
4681,0.249,0.751,0.0,0.5621
4682,0.0,1.0,0.0,0.0
4683,0.0,1.0,0.0,0.0
4684,0.18,0.82,0.0,0.6705
4689,0.592,0.408,0.0,0.4404
4698,0.0,1.0,0.0,0.0
4699,0.0,1.0,0.0,0.0
4700,0.0,1.0,0.0,0.0
4701,0.0,0.345,0.655,-0.6908
4702,0.124,0.876,0.0,0.34
